season,ranking,handle,rank
45,SB,SpaceExpl0r3r,SpaceExpl0r3r
45,SB,Haaiin,Haaiin
45,SB,Clyde42,Clyde42
45,SB,SIick,SIick
45,SB,haGGizz,haGGizz
45,SB,Lanije,Lanije
45,SB,Maldiccionnegra,Maldiccionnegra
45,SB,ElFaTaL0r,ElFaTaL0r
45,SB,rhobit,rhobit
45,SB,Jack-Carter,Jack-Carter
45,SB,syr3zz,syr3zz
45,SB,Kapauz,Kapauz
45,SB,Gehsi,Gehsi
45,SB,GhostOfRappel,GhostOfRappel
45,SB,Tungard,Tungard
45,SB,Nirvana879,Nirvana879
45,SB,Koryphe,Koryphe
45,SB,GGoblin_Slayer,GGoblin_Slayer
45,SB,The_M4Z3,The_M4Z3
45,SB,Mordea,Mordea
45,SB,Pinhead92,Pinhead92
45,SB,Sir_Wallace,Sir_Wallace
45,SB,Trokar,Trokar
45,SB,SpaceExpl0r3r,SpaceExpl0r3r
45,SB,Haaiin,Haaiin
45,SB,Clyde42,Clyde42
45,SB,Lanije,Lanije
45,SB,rhobit,rhobit
45,SB,haGGizz,haGGizz
45,SB,Jack-Carter,Jack-Carter
45,SB,Maldiccionnegra,Maldiccionnegra
45,SB,syr3zz,syr3zz
45,SB,Gehsi,Gehsi
45,SB,SIick,SIick
45,SB,Koryphe,Koryphe
45,SB,TheWolv,TheWolv
45,SB,SILVA-7,SILVA-7
45,SB,GhostOfRappel,GhostOfRappel
45,SB,JeanLuc_KN,JeanLuc_KN
45,SB,Kapauz,Kapauz
45,SB,Trokar,Trokar
45,SB,Mordea,Mordea
45,SB,Tungard,Tungard
45,SB,Tobbbe,Tobbbe
45,SB,Nican2405,Nican2405
45,SB,GGoblin_Slayer,GGoblin_Slayer
45,SB,Haaiin,Haaiin
45,SB,SpaceExpl0r3r,SpaceExpl0r3r
45,SB,Clyde42,Clyde42
45,SB,rhobit,rhobit
45,SB,Koryphe,Koryphe
45,SB,syr3zz,syr3zz
45,SB,SIick,SIick
45,SB,haGGizz,haGGizz
45,SB,Lanije,Lanije
45,SB,Maldiccionnegra,Maldiccionnegra
45,SB,Jack-Carter,Jack-Carter
45,SB,Gehsi,Gehsi
45,SB,DerKrokodil,DerKrokodil
45,SB,GhostOfRappel,GhostOfRappel
45,SB,Nican2405,Nican2405
45,SB,NeonBlade,NeonBlade
45,SB,Kapauz,Kapauz
45,SB,Trokar,Trokar
45,SB,kordex,kordex
45,SB,TheWolv,TheWolv
45,SB,Sir_Wallace,Sir_Wallace
45,SB,The7Artemis,The7Artemis
45,SB,JeanLuc_KN,JeanLuc_KN
45,SB,Nirvana879,Nirvana879
45,SB,Haaiin,Haaiin
45,SB,SpaceExpl0r3r,SpaceExpl0r3r
45,SB,Clyde42,Clyde42
45,SB,Gehsi,Gehsi
45,SB,Lanije,Lanije
45,SB,Zarzork,Zarzork
45,SB,Sir_Wallace,Sir_Wallace
45,SB,ElFaTaL0r,ElFaTaL0r
45,SB,haGGizz,haGGizz
45,SB,Kapauz,Kapauz
45,SB,GhostOfRappel,GhostOfRappel
45,SB,Maldiccionnegra,Maldiccionnegra
45,SB,Nican2405,Nican2405
45,SB,The7Artemis,The7Artemis
45,SB,Trokar,Trokar
45,SB,TheWolv,TheWolv
45,SB,GGoblin_Slayer,GGoblin_Slayer
45,SB,Tungard,Tungard
45,SB,LucaTurboLuca,LucaTurboLuca
45,SB,Izyl,Izyl
45,SB,Koryphe,Koryphe
45,SB,The_M4Z3,The_M4Z3
45,SB,Nirvana879,Nirvana879
45,SB,Buschy20,Buschy20
45,SB,Guardian-Wings,Guardian-Wings
45,SB,Haaiin,Haaiin
45,SB,SpaceExpl0r3r,SpaceExpl0r3r
45,SB,Clyde42,Clyde42
45,SB,rhobit,rhobit
45,SB,Lanije,Lanije
45,SB,Sir_Wallace,Sir_Wallace
45,SB,Jack-Carter,Jack-Carter
45,SB,Kapauz,Kapauz
45,SB,Maldiccionnegra,Maldiccionnegra
45,SB,syr3zz,syr3zz
45,SB,Trokar,Trokar
45,SB,haGGizz,haGGizz
45,SB,GGoblin_Slayer,GGoblin_Slayer
45,SB,Gehsi,Gehsi
45,SB,GhostOfRappel,GhostOfRappel
45,SB,ElFaTaL0r,ElFaTaL0r
45,SB,FireHarpyie,FireHarpyie
45,SB,Nirvana879,Nirvana879
45,SB,The7Artemis,The7Artemis
45,SB,JeanLuc_KN,JeanLuc_KN
45,SB,Tungard,Tungard
45,SB,Dystopian_Snowman,Dystopian_Snowman
